Algeciras,Heliport,Algeciras,Spain,AEI,LEAG,
Aseki,Small airport,Aseki,Papua New Guinea,AEK,AYAX,
Albert Lea Municipal,Small airport,Albert Lea,United States,AEL,KAEL,AEL
Aioun el Atrouss,Small airport,Aioun El Atrouss,Mauritania,AEO,GQNA,
Jorge Newbery Airpark,Medium airport,Buenos Aires,Argentina,AEP,SABE,
Sochi International,Large airport,Sochi,Russia,AER,URSS,
흈esund,Medium airport,흈esund,Norway,AES,ENAL,
Allakaket,Small airport,Allakaket,United States,AET,PFAL,6A8
Abumusa Island,Medium airport,,Iran,AEU,OIBA,
Alexandria International,Medium airport,Alexandria,United States,AEX,KAEX,AEX
Akureyri,Medium airport,Akureyri,Iceland,AEY,BIAR,
Suboficial Ay Santiago Germano,Medium airport,San Rafael,Argentina,AFA,SAMR,
Port Alfred,Small airport,Port Alfred,South Africa,AFD,FAPA,
USAF Academy Airfield,Small airport,Colorado Springs,United States,AFF,KAFF,AFF
Amalfi,Small airport,Amalfi,Colombia,AFI,SKAM,
Kondavattavana Tank,Seaplane base,Ampara,Sri Lanka,AFK,,
Piloto Osvaldo Marques Dias,Medium airport,Alta Floresta,Brazil,AFL,SBAT,
Jaffrey Silver Ranch,Small airport,Jaffrey,United States,AFN,KAFN,AFN
Afton Municipal,Small airport,Afton,United States,AFO,KAFO,AFO
Afore Airstrip,Small airport,,Papua New Guinea,AFR,AYAF,
Sugraly,Small airport,Zarafshan,Uzbekistan,AFS,UTSN,
Afutara Aerodrome,Small airport,Bila,Solomon Islands,AFT,AGAF,
Fort Worth Alliance,Large airport,Fort Worth,United States,AFW,KAFW,AFW
Afyon,Medium airport,Afyonkarahisar,Turkey,AFY,LTAH,
Sabzevar National,Medium airport,Sabzevar,Iran,AFZ,OIMS,
Al Massira,Medium airport,Agadir,Morocco,AGA,GMAD,AGA
Augsburg,Medium airport,Augsburg,Germany,AGB,EDMA,
Allegheny County,Medium airport,Pittsburgh,United States,AGC,KAGC,AGC
Anggi,Small airport,Anggi-Papua Island,Indonesia,AGD,WASG,
Wangerooge,Small airport,Wangerooge,Germany,AGE,EDWG,
Agen-La Garenne,Medium airport,Agen/La Garenne,France,AGF,LFBA,
Angoram,Small airport,Angoram,Papua New Guinea,AGG,,
훞gelholm-Helsingborg,Medium airport,훞gelholm,Sweden,AGH,ESTA,
Wageningen Airstrip,Small airport,Wageningen,Suriname,AGI,SMWA,
Aguni,Small airport,Aguni,Japan,AGJ,RORA,
